"","V1","V2","V3","V4","V5","V6","V7","V8"
"387",1113454,1,0,1,0,0,0,1
"388",1113455,1,0,1,0,0,0,1
"389",1113457,1,0,1,0,0,0,1
"390",1113461,1,1,1,1,1,1,1
"391",1113540,0,0,0,0,0,0,0
"392",1113542,1,0,1,0,0,0,1
"393",1113552,1,0,1,0,0,1,1
"394",1113556,0,0,0,0,0,0,0
"395",1113557,1,1,1,0,1,0,1
"396",1113559,1,0,1,0,0,0,1
"397",1113562,1,0,1,0,0,0,1
"398",1113571,1,1,1,0,1,0,1
"399",1113572,1,1,0,0,1,0,0
"400",1113576,1,0,1,0,0,0,1
"401",1113578,1,0,1,0,0,0,1
"402",1113584,1,0,1,0,1,1,1
"403",1113592,1,0,1,0,0,0,1
"404",1113593,1,0,1,0,0,0,0
"405",1114036,1,0,1,0,0,0,0
"406",1114038,1,0,1,0,0,0,1
"407",1114043,1,0,1,0,0,0,1
"408",1114045,1,0,1,0,0,0,1
"409",1114046,1,0,1,0,0,0,1
"410",1114048,1,0,1,0,0,0,1
"411",1114051,1,0,1,0,0,0,1
"412",1114052,1,0,1,0,0,1,0
"413",1114056,1,0,1,0,0,0,0
"414",1114058,1,1,1,0,0,0,1
"415",1114059,1,0,1,0,1,1,1
"416",1114060,1,0,1,0,0,0,1
"417",1114061,1,0,1,0,0,0,0
"418",1114063,1,1,1,1,1,0,1
"419",1114064,1,1,1,0,0,0,0
"420",1114065,1,0,1,0,0,0,1
"421",1114067,1,0,1,0,0,0,1
"422",1114068,1,1,1,0,0,0,0
"423",1114071,1,0,1,0,0,0,1
"424",1114072,1,0,1,0,0,0,1
"425",1114073,1,0,1,0,0,0,1
"426",1114076,1,1,1,0,1,1,1
"427",1114077,1,0,1,0,0,0,1
"428",1114080,0,0,0,0,0,0,1
"429",1114082,1,0,1,0,0,0,1
"430",1114083,1,1,0,0,1,0,0
"431",1114085,1,0,1,0,0,0,1
"432",1114086,0,0,0,0,0,0,0
"433",1114092,1,0,1,0,0,0,1
"434",1114093,1,1,1,0,1,1,1
"435",1114099,1,0,1,0,0,0,1
"436",1114106,1,0,1,0,0,0,1
"437",1114110,1,0,1,0,0,0,1
"438",1114111,1,1,1,0,1,1,1
"439",1114112,1,0,1,0,1,0,1
"440",1114113,1,1,1,0,1,0,1
"441",1114114,1,0,1,0,0,1,1
"442",1114115,1,0,1,0,0,0,0
"443",1114116,1,0,1,0,0,0,1
"444",1114117,0,0,0,0,0,0,0
"445",1114119,1,0,1,0,0,0,1
"446",1114120,1,1,1,0,1,0,1
"447",1114123,1,0,1,0,0,1,1
"448",1114125,1,0,1,0,0,1,1
"449",1114126,0,0,0,0,0,0,0
"450",1114130,1,0,1,0,0,0,1
"451",1114131,1,0,1,0,0,0,0
"452",1114132,1,1,0,0,1,0,0
"453",1114133,0,1,0,0,0,0,0
"454",1114139,1,1,1,0,1,0,1
"455",1114140,1,0,1,0,0,1,1
"456",1114141,1,0,1,0,0,0,1
"457",1114142,1,0,1,0,0,0,0
"458",1114144,1,1,1,0,0,1,0
"459",1114145,1,0,1,0,0,1,1
"460",1114147,1,1,1,0,1,1,1
"461",1114148,1,0,1,0,0,0,1
