"","id","region","takeup_survey","age","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","male","default","delay","intensive","info_takeup_rate","info_takeup_list","info_none","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes","address","village"
"1254",1118425,1,1,54,4,1,70,19,30,0,0,50,1,1,1,0,0,0,0,1,0.2,9,0,1,0,0,1,102,20
"1255",1118426,1,0,43,4,1,NA,14,5,1,1,40,1,1,1,1,0,0,0,1,0.2,11,0,1,0,NA,1,102,20
"1256",1118427,1,0,57,2,2,60,5,20,0,0,50,0,1,1,1,0,0,0,1,0,11,0.60000002,1,1,NA,1,102,20
"1257",1118428,1,1,63,3,1,100,9,NA,0,1,20,1,1,1,0,1,0,0,1,0.2,9,0.19999999,1,0,0,0,102,20
"1258",1118429,1,0,44,4,1,NA,18,15,0,0,30,1,1,1,1,0,0,0,1,0.80000001,11,0,1,0,NA,1,102,20
"1259",1118430,1,1,54,2,1,70,12,NA,1,1,20,1,1,1,1,1,1,0,0,0.80000001,11,0.80000001,1,0,NA,NA,102,20
"1260",1118432,1,0,42,5,2,100,10,30,0,0,50,1,1,1,1,0,0,1,0,1,11,0,1,1,NA,1,102,20
"1261",1118433,1,1,41,6,1,50,13,20,0,1,40,1,1,1,0,1,0,0,1,0.40000001,9,0,1,0,0,1,102,20
"1262",1118435,1,1,46,4,1,50,6,NA,0,1,50,1,1,1,1,1,0,1,0,0,11,0,1,0,NA,0,102,20
"1263",1118436,1,0,42,8,3,100,23,NA,0,1,20,1,1,1,1,0,0,0,1,0.40000001,11,0,1,1,NA,1,102,20
"1264",1118437,1,1,59,12,1,13,2,10,0,0,30,0,1,1,0,0,0,0,1,0,9,0,1,0,0,1,102,20
"1265",1118438,1,1,42,5,1,100,20,30,1,0,5,1,1,1,1,0,0,1,0,0.60000002,11,0,1,0,NA,1,102,20
"1266",1118439,1,0,39,6,1,70,10,NA,0,1,50,1,1,1,1,1,0,1,0,1,11,0,1,0,NA,0,102,20
"1267",1118440,1,1,33,3,1,100,10,40,0,1,30,1,1,1,1,0,1,0,0,0.2,11,0,1,0,NA,1,102,20
"1268",1118441,1,1,36,4,2,60,18,20,0,0,20,1,1,1,0,1,0,0,1,0.80000001,9,0,1,1,0,1,102,20
"1269",1118443,1,1,42,5,0,100,24,NA,1,1,20,1,1,1,0,1,0,0,1,0.40000001,9,0.19999999,0,0,0,0,102,20
"1270",1118444,1,0,57,6,0,100,14,20,0,0,30,1,1,1,1,1,0,0,1,0.40000001,11,0,0,0,NA,1,102,20
"1271",1118445,1,1,36,6,2,20,9,NA,0,1,20,1,1,1,1,1,0,0,1,0.2,11,0,1,1,NA,0,102,20
"1272",1118448,1,1,46,6,0,100,10,NA,0,0,50,0,1,1,1,0,1,0,0,1,11,0,0,0,NA,0,102,20
"1273",1118449,1,1,55,5,1,60,10,50,1,0,40,1,1,1,1,1,0,0,1,0.40000001,11,0,1,0,NA,1,102,20
"1274",1118450,1,1,62,4,0,90,6.7,NA,1,1,30,1,1,1,0,0,0,0,1,0.2,9,0,0,0,0,0,102,20
"1275",1118451,1,1,80,7,0,100,15,NA,1,1,20,1,1,1,0,0,0,0,1,0.40000001,9,0,0,0,0,0,102,20
"1276",1118452,1,1,54,7,2,100,10,40,0,0,30,1,1,1,1,1,0,0,1,1,11,0,1,1,NA,1,102,20
"1277",1119001,1,0,60,5,0,75,18,5,0,0,20,1,1,0,0,0,0,0,1,0.40000001,7,0,0,0,0,1,209,42
"1278",1119003,1,0,41,4,2,100,22,20,0,0,50,1,1,0,0,0,0,0,1,0.2,7,0.19999999,1,1,0,1,209,42
"1279",1119004,1,1,60,5,NA,100,16,30,1,0,20,1,1,0,0,1,0,0,1,0.60000002,7,0.39999998,NA,0,NA,1,209,42
"1280",1119006,1,1,40,6,1,90,20,30,0,0,50,1,1,0,1,0,0,0,1,0.60000002,10,1,1,0,NA,1,209,42
"1281",1119007,1,1,57,7,1,90,17,30,0,1,20,1,1,0,1,0,0,0,1,0.60000002,10,1,1,0,NA,1,209,42
"1282",1119008,1,1,56,6,1,90,16,20,0,0,30,1,1,0,0,1,0,0,1,0.60000002,7,0.80000001,1,0,0,1,209,42
"1283",1119009,1,0,48,4,2,100,30,5,0,0,20,0,1,0,1,1,0,1,0,0.40000001,10,0,1,1,NA,1,209,42
"1284",1119010,1,1,53,8,2,80,13,NA,0,0,0,1,1,0,1,0,1,0,0,1,10,0,1,1,NA,0,209,42
"1285",1119011,1,1,45,6,1,70,21.5,10,1,1,40,1,1,0,0,1,0,0,1,1,7,0.39999998,1,0,0,1,209,42
"1286",1119012,1,1,32,4,2,100,12,20,0,0,50,1,1,0,1,1,1,0,0,0.60000002,10,0,1,1,NA,1,209,42
"1287",1119015,1,0,36,6,1,100,20,NA,1,0,10,1,1,0,0,1,0,0,1,0.80000001,7,0,1,0,0,0,209,42
"1288",1119016,1,0,58,3,1,60,5,20,0,0,50,1,1,0,0,1,0,0,1,0.80000001,7,0,1,0,0,1,209,42
"1289",1119017,1,0,45,4,1,70,15,20,0,1,20,1,1,0,1,1,0,0,1,0,10,0,1,0,NA,1,209,42
"1290",1119018,1,1,65,4,1,60,16,40,0,0,50,1,1,0,1,0,0,0,1,0.2,10,0,1,0,NA,1,209,42
"1291",1119019,1,0,48,4,1,100,14,50,0,1,40,1,1,0,1,0,1,0,0,0.2,10,0,1,0,NA,1,209,42
"1292",1119021,1,1,48,4,3,40,15,40,0,0,50,1,1,0,1,0,0,1,0,1,10,0,1,1,NA,1,209,42
"1293",1119027,1,0,40,5,1,100,30,NA,0,1,20,0,1,0,1,1,0,0,1,0,10,0,1,0,NA,1,209,42
"1294",1119031,1,0,41,4,1,NA,25,25,0,0,0,1,1,0,0,0,0,0,1,0.2,7,0.39999998,1,0,NA,1,209,42
