"","id","region","takeup_survey","age","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","male","default","delay","intensive","info_takeup_rate","info_takeup_list","info_none","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes","address","village"
"108",1111323,1,0,66,8,0,90,1.5,20,1,0,20,0,1,0,0,0,0,0,1,0,2,0,0,0,1,1,58,12
"109",1111329,1,0,54,6,1,40,4,5,0,0,30,1,1,0,1,0,0,1,0,1,4,0,1,0,NA,1,58,12
"110",1111332,1,1,40,4,3,40,7,80,1,0,30,0,1,0,1,0,0,1,0,0.60000002,4,0,1,1,NA,1,58,12
"111",1111333,1,1,53,5,2,100,30,10,0,0,50,1,1,0,1,0,1,0,0,1,4,0,1,1,NA,1,58,12
"112",1111334,1,0,61,6,1,30,1,NA,1,0,20,1,1,0,0,1,0,0,1,0,2,0,1,0,1,0,58,12
"113",1111345,1,1,44,4,0,40,3,50,0,0,30,1,1,0,1,0,0,0,1,0.40000001,4,0.60000002,0,0,NA,1,58,12
"114",1111347,1,0,NA,4,1,20,2,50,0,1,70,0,1,0,0,0,0,0,1,0.80000001,2,0,1,0,0,1,58,12
"115",1111349,1,1,71,10,1,100,1,NA,1,1,40,1,1,0,0,1,0,0,1,0.60000002,2,1,1,0,0,0,58,12
"116",1111355,1,1,43,3,3,70,15,NA,0,0,50,1,1,0,1,0,0,0,1,1,4,0.2,1,1,NA,NA,58,12
"117",1111356,1,0,40,3,1,40,1,NA,0,0,20,1,1,0,1,1,0,0,1,0.2,4,0,1,0,NA,0,58,12
"118",1111362,1,0,65,5,0,95,2.6,15,0,0,30,1,1,0,1,1,0,1,0,0.2,4,0,0,0,NA,1,58,12
"119",1111363,1,0,56,5,0,70,12,25,0,0,20,0,1,0,0,0,0,0,1,0.2,2,0.39999998,0,0,0,1,58,12
"120",1111364,1,0,53,6,2,30,4,20,0,0,50,0,1,0,1,0,1,0,0,1,4,0,1,1,NA,1,58,12
"121",1111369,1,0,54,10,0,60,5,50,0,0,70,1,1,0,1,0,1,0,0,0,3,0,0,0,NA,1,58,12
"122",1111370,1,0,51,5,2,70,0.7,NA,0,0,30,1,1,0,0,0,0,0,1,0,2,0.19999999,1,1,0,0,58,12
"123",1111371,1,0,60,7,0,100,2,20,1,0,20,1,1,0,1,0,0,1,0,0,4,0,0,0,NA,1,58,12
"124",1111372,1,0,45,5,1,20,4,16,0,0,30,0,1,0,0,1,0,0,1,0,2,0,1,0,NA,1,58,12
"125",1111374,1,0,45,4,0,60,2,40,1,0,20,1,1,0,1,0,0,0,1,0.60000002,4,0,0,0,NA,1,58,12
"126",1111375,1,0,37,4,1,20,3,20,0,0,70,1,1,0,1,1,0,0,1,0.60000002,4,0.39999998,1,0,NA,1,58,12
"127",1111376,1,0,48,4,1,15,1.8,NA,0,0,0,0,1,0,1,0,0,0,1,0.60000002,3,0,1,0,NA,0,58,12
"128",1111378,1,0,50,5,3,100,27,NA,0,0,50,1,0,0,1,1,1,0,0,0.40000001,4,0.39999998,1,1,NA,1,58,12
"129",1111379,1,0,29,5,3,100,17,NA,1,1,20,1,1,0,1,0,0,1,0,0.2,4,0.39999998,1,1,NA,1,58,12
"130",1111380,1,0,36,4,1,30,8,NA,0,0,30,1,1,1,1,1,1,0,0,0.2,4,0,1,0,NA,0,59,12
"131",1111382,1,1,44,4,2,100,3,3,0,1,70,1,1,1,0,1,0,0,1,0.60000002,4,0,1,1,0,1,59,12
"132",1111383,1,1,47,5,2,40,3,30,0,1,70,1,1,1,0,1,0,0,1,0.80000001,4,0,1,1,0,1,59,12
"133",1111384,1,1,59,4,1,95,3.5,NA,0,1,10,1,1,1,1,1,1,0,0,0.60000002,4,0.39999998,1,0,NA,0,59,12
"134",1111385,1,1,37,4,1,30,2,75,0,1,50,1,1,1,0,1,0,0,1,0.60000002,2,0,1,0,0,1,59,12
"135",1111386,1,1,43,6,2,15,5.6,50,1,0,20,1,1,1,0,1,0,0,1,0.2,2,0,1,1,0,1,59,12
"136",1111390,1,0,45,4,1,90,13.2,10,0,0,30,0,1,1,1,0,0,0,1,1,4,0,1,0,NA,1,59,12
"137",1111393,1,1,44,5,1,35,5,NA,0,1,20,0,1,1,1,1,1,0,0,0.60000002,4,0,1,0,NA,0,59,12
"138",1111394,1,1,36,4,1,40,1,NA,0,1,0,1,0,1,0,0,0,0,1,0.2,2,0,1,0,0,0,59,12
"139",1111395,1,1,70,6,1,60,6,NA,1,0,40,0,1,1,1,1,0,0,1,0.40000001,4,0,1,0,NA,0,59,12
"140",1111396,1,1,57,3,1,40,12,30,0,0,50,1,NA,1,1,0,0,0,1,0.2,4,0,1,0,NA,1,59,12
"141",1111397,1,1,64,11,1,40,6.2,NA,0,1,20,1,1,1,0,0,0,0,1,0.40000001,2,0,1,0,0,0,59,12
"142",1111398,1,1,43,5,2,30,3,NA,0,1,30,0,1,1,1,0,1,0,0,1,4,0,1,1,NA,0,59,12
"143",1111399,1,1,41,5,1,20,3,20,0,1,20,1,1,1,1,0,1,0,0,0.2,4,0,1,0,NA,1,59,12
"144",1111400,1,1,30,4,0,100,30,NA,0,0,50,1,1,1,1,0,0,0,1,1,4,0.2,0,0,NA,NA,59,12
"145",1111401,1,1,48,4,2,40,10,NA,1,1,0,1,1,1,0,0,0,0,1,0.40000001,2,0,1,1,NA,0,59,12
"146",1111404,1,1,36,4,1,100,2.5,5,1,0,20,1,1,1,1,1,0,1,0,0.2,4,0,1,0,NA,1,59,12
"147",1111405,1,1,36,4,2,30,3,NA,0,0,30,0,1,1,1,1,0,0,1,0.60000002,4,0.39999998,1,1,NA,0,59,12
"148",1111406,1,1,51,8,0,20,5,NA,0,1,20,1,1,1,1,0,0,0,1,0.2,4,0,0,0,NA,0,59,12
"149",1111407,1,1,58,5,0,100,3.7,NA,1,0,50,1,1,1,1,1,0,0,1,0.40000001,4,0,0,0,NA,0,59,12
"150",1111408,1,1,NA,4,2,35,6,NA,1,0,40,0,1,1,0,1,0,0,1,0.60000002,2,0,1,1,NA,0,59,12
"151",1111410,1,0,61,5,1,95,5,NA,0,1,30,0,1,1,1,0,0,1,0,1,4,0,1,0,NA,0,59,12
"152",1111411,1,1,57,7,1,30,6,60,1,1,20,1,1,1,1,0,1,0,0,0.80000001,4,1,1,0,NA,1,59,12
"153",1111415,1,0,35,4,2,80,10,NA,0,0,15,1,1,1,1,0,0,1,0,1,4,0,1,1,NA,0,59,12
"154",1111416,1,0,60,1,1,60,3,NA,1,0,20,0,1,1,0,0,0,0,1,0.80000001,2,0,1,0,0,0,59,12
"155",1111417,1,0,48,6,2,60,15,NA,1,0,50,0,1,1,0,1,0,0,1,0.80000001,2,1,1,1,1,0,59,12
"156",1111418,1,1,56,3,1,40,2.5,NA,1,0,40,0,1,1,0,1,0,0,1,0,2,0,1,0,0,0,59,12
"157",1111419,1,0,42,4,0,90,3.3,NA,1,1,50,0,1,1,1,1,1,0,0,1,4,0.60000002,0,0,NA,0,59,12
"158",1111422,1,0,60,2,1,50,4,NA,0,1,20,0,1,1,0,0,0,0,1,0.60000002,2,0,1,0,0,0,59,12
"159",1111423,1,0,43,4,2,NA,4.1,NA,0,0,30,0,1,1,0,0,0,0,1,0.2,2,0,1,1,0,0,59,12
"160",1111424,1,1,41,5,1,35,5.8,NA,1,1,20,1,1,1,1,1,0,0,1,0.60000002,4,0,1,0,NA,0,59,12
"161",1111425,1,1,54,6,1,60,6,NA,0,0,50,1,1,1,1,0,0,0,1,1,4,0,1,0,NA,0,59,12
"162",1111432,1,1,40,5,1,40,2,NA,1,1,40,1,1,1,1,0,0,0,1,1,4,0,1,0,NA,0,59,12
"163",1111435,1,0,39,3,2,90,1,NA,0,0,50,1,1,1,0,0,0,0,1,0.2,2,0.60000002,1,1,0,0,59,12
"164",1111436,1,1,60,10,0,40,3,NA,1,0,20,0,1,1,0,0,0,0,1,0.2,2,0,0,0,0,0,59,12
"165",1111442,1,0,48,4,2,50,6,NA,0,0,20,1,1,1,1,0,1,0,0,0.2,4,0,1,1,NA,0,59,12
"166",1111443,1,0,61,6,0,100,3,10,1,0,20,0,1,1,1,0,0,1,0,0.2,4,0,0,0,NA,1,59,12
"167",1111446,1,0,68,5,0,100,16,NA,1,0,50,0,1,1,0,1,0,0,1,0,2,0,0,0,0,0,59,12
"168",1111448,1,1,64,4,1,60,5,NA,1,1,0,1,1,1,1,1,0,0,1,0.60000002,4,0,1,0,NA,0,59,12
"169",1111453,1,1,40,6,1,80,27.6,20,1,0,30,1,0,1,0,0,0,0,1,0.2,2,0,1,0,0,1,59,12
"170",1111454,1,1,20,4,1,90,23,NA,0,0,20,1,0,1,0,0,0,0,1,0.2,2,0,1,0,NA,0,59,12
"171",1111455,1,1,67,5,2,60,7,50,1,0,20,0,1,1,1,0,0,0,1,1,4,0,1,1,NA,1,59,12
"172",1112082,1,1,54,2,2,20,2.4,NA,0,0,50,1,1,1,1,0,0,0,1,0.2,20,0.39999998,1,1,NA,0,111,22
"173",1112084,1,0,73,2,1,100,2.3,NA,1,1,40,1,1,1,1,1,0,0,1,0.2,20,0,1,0,NA,0,111,22
"174",1112085,1,1,72,10,1,80,12,NA,0,0,50,1,1,1,0,1,0,0,1,0.60000002,20,0,1,0,1,0,111,22
"175",1112086,1,0,43,4,2,20,4,NA,1,1,20,1,1,1,0,0,0,0,1,0.40000001,20,0,1,1,0,1,111,22
"176",1112089,1,1,63,6,1,90,14,NA,1,1,30,1,1,1,0,0,0,0,1,0.2,20,0,1,0,1,1,111,22
"177",1112090,1,0,37,4,1,50,5.2,NA,0,1,20,1,1,1,1,1,0,0,1,0.2,20,0,1,0,NA,0,111,22
"178",1112093,1,0,51,2,2,80,2,NA,0,0,50,1,1,1,1,1,0,0,1,0.2,20,0,1,1,NA,0,111,22
"179",1112099,1,0,40,5,1,70,5,NA,0,1,40,1,1,1,1,1,0,0,1,0.2,20,0,1,0,NA,0,111,22
"180",1112100,1,0,40,4,1,40,5,NA,0,0,50,1,1,1,1,1,1,0,0,0.2,20,0,1,0,NA,0,111,22
