id,region,takeup_survey,age,agpop,educ,rice_inc,ricearea_2010,disaster_loss,insurance_repay,insurance_buy,disaster_prob,general_trust,male,default,delay,intensive,info_takeup_rate,info_takeup_list,info_none,understanding,day,risk_averse,literacy,educ_good,reveal,disaster_yes,address,village,network_obs,network_rate_preintensive,network_rate_presession,network_rate_pretakeup,network_rate_presimple,knowledge_network,friend1,friend2,friend3,friend4,friend5,network_onlyone,network_onlytwo,network_twomore,network_yes,network_twoside,secondnet_obs,network_second,mean_allnetindegree,mean_1steduc_indegree,mean_allnetpath_out_ind,mean_1steduc_path_out_ind,mean_allnetpath_in_ind,mean_1steduc_path_in_ind,mean_allneteigenvector,mean_1steduc_eigenvector,eigenvector,indegree,path_in_ind,path_out_ind
1111186,1,0,61,5,1,60,4,,1,1,30,1,1,1,1,1,0,0,1,.60000002,6,0,1,0,,0,55,12,5,.40000001,.60000002,1,.20000002,.40000001,0,0,0,0,1,0,1,1,1,.2,11,.45454547,2.75,4,3.3014705,3.4117646,2.590909,2.7878788,.18307206,.1448563,.11672199,2,3.8181818,3.5
1111187,1,1,45,5,3,80,32,,0,0,50,1,1,1,0,0,0,0,1,.2,2,1,1,1,0,0,55,12,5,.60000002,1,.60000002,.39999998,.24000001,0,0,0,0,1,0,0,1,1,.40000001,14,.21428572,3.75,3.3333333,3.0441175,3.1666665,2.6363635,2.7575758,.1560823,.14479776,.31015882,0,1.969697,2.8529413
1111190,1,1,70,6,0,80,20,,1,0,20,1,1,1,0,0,0,0,1,,2,0,0,0,1,0,55,12,5,.40000001,.40000001,.5,0,.2,0,0,0,0,1,0,1,1,1,.2,6,0,3,3,3.9117646,3.9117646,1.8484849,1.8484849,.029478541,.029478541,.024243789,2,3.4545455,0
1111191,1,0,43,5,0,60,5.93,,0,0,30,1,0,1,0,0,0,0,1,0,2,.19999999,0,0,,0,55,12,5,.2,.2,1,0,.2,0,0,0,0,1,1,0,0,1,.2,13,.15384616,4.3333335,3,3.2941177,4,1.7474748,0,.090191446,.020032056,.061293121,3,3.6060605,3.0294118
1111194,1,1,54,5,1,100,6,20,1,0,20,1,1,1,0,1,0,0,1,0,2,0,1,0,0,1,55,12,5,0,.40000001,1,.40000001,.2,0,0,0,0,1,0,0,0,0,0,20,.050000001,6.1999998,0,2.8882353,0,2.2909091,0,.21105611,0,.12898862,3.2727273,2.7465565,2.6857142
1111196,1,0,46,4,1,,6.3,40,0,0,50,1,1,1,1,0,0,1,0,.40000001,6,0,1,0,,1,55,12,5,.2,.80000001,.75,.60000002,.13333334,0,0,0,0,1,1,0,0,1,.2,14,.21428572,3.25,2,2.7132354,2.6764705,2.3030303,2.6969697,.21920651,.14468069,.26828671,7,2.2424242,2.9117646
1111197,1,0,41,4,2,60,3.8,,1,0,40,1,1,1,0,1,0,0,1,0,2,0,1,1,0,0,55,12,5,0,0,,0,,0,0,0,0,1,0,0,0,0,0,16,.0625,5,0,2.7794118,0,2.7272727,0,.20653458,0,.14468069,2,2.6969697,2.6764705
1111201,1,0,58,4,0,60,1.5,,0,0,30,1,1,1,1,1,0,0,1,.60000002,6,0,0,0,,0,55,12,5,.40000001,.60000002,.33333334,.20000002,.13333334,0,0,0,0,1,0,1,1,1,0,16,.25,3.2,3.5,3.1235294,3.6617646,3.230303,3.090909,.095098443,.093789726,.058120172,2,3.939394,2.7352941
1111202,1,1,53,10,1,100,8,20,1,0,20,1,1,1,0,1,0,0,1,.2,2,0,1,0,0,1,55,12,5,.40000001,.40000001,1,0,.5,0,0,0,0,1,0,1,1,1,.2,9,.22222222,2.6666667,4,3.3431373,3.4117646,2.4949493,2.7878788,.096570864,.1448563,.078818329,1,3.6969697,3.9117646
1111203,1,0,49,5,1,90,12,30,0,0,30,1,1,1,1,1,0,0,1,1,6,0,1,0,,1,55,12,5,0,.40000001,.5,.40000001,.1,0,0,0,0,1,0,0,0,0,0,16,.25,2.75,0,2.8235295,0,2.8863635,0,.18956999,0,.11037032,1,3.6363637,2.7058823
1111205,1,0,54,7,1,90,10,40,1,0,20,1,1,1,1,1,0,0,1,0,6,0,1,0,,1,55,12,5,0,0,,0,,0,0,0,0,1,0,0,0,0,0,19,.21052632,3.2,0,2.8647058,0,2.7393939,0,.13184556,0,.22250657,5,2.7878788,2.4705882
1111207,1,0,55,5,1,,7,60,0,0,50,1,1,1,1,0,0,1,0,.60000002,6,0,1,0,,1,55,12,5,0,.2,0,.2,0,0,0,0,0,1,0,0,0,0,0,17,.17647059,5.5,0,3.2352941,0,2.6969697,0,.15843205,0,.13417029,3,3.2121212,2.6764705
1111208,1,0,55,6,2,100,4.5,20,1,0,40,0,1,1,0,1,0,0,1,.2,2,1,1,1,0,1,55,12,5,0,.60000002,.33333334,.60000002,0,0,0,0,0,1,0,0,0,0,0,11,.090909094,3.6666667,0,2.4313724,0,3.1414142,0,.055961162,0,.038925026,3,3.6969697,3.8235295
1111209,1,0,73,10,0,100,3,,0,0,30,1,1,1,1,1,0,0,1,.60000002,6,0,0,0,,0,55,12,5,.40000001,.80000001,.5,.40000001,.25,0,0,0,0,1,0,1,1,1,0,19,.15789473,3.4000001,3.5,3.3999999,3.6617646,3.2545455,3.090909,.094509199,.093789726,.09244936,3,3.1515152,2.5882354
1111211,1,1,39,4,2,100,1.48,40,1,0,20,1,1,1,0,0,0,0,1,0,2,0,1,1,0,1,56,12,5,0,.40000001,1,.40000001,0,0,0,0,0,1,0,0,0,0,0,12,.083333336,4,0,2.4358976,0,2.3963964,0,.017511318,0,.010289712,2,3.5945945,3.7692308
