	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey	takeup_survey
										
_Ivilid_40	-0.149	-0.140	-0.144	-0.149	-0.252**	-0.149	-0.140	-0.144	-0.149	-0.252**
	(0.107)	(0.106)	(0.108)	(0.108)	(0.127)	(0.107)	(0.106)	(0.108)	(0.108)	(0.127)
_Ivilid_41	-0.0932***	-0.0939***	-0.0832***	-0.0909***	-0.0922***	-0.0932***	-0.0939***	-0.0832***	-0.0909***	-0.0922***
	(0.0248)	(0.0228)	(0.0231)	(0.0252)	(0.0241)	(0.0248)	(0.0228)	(0.0231)	(0.0252)	(0.0241)
_Ivilid_42	-0.392***	-0.380***	-0.386***	-0.392***	-0.496***	-0.392***	-0.380***	-0.386***	-0.392***	-0.496***
	(0.0353)	(0.0377)	(0.0369)	(0.0375)	(0.0856)	(0.0353)	(0.0377)	(0.0369)	(0.0375)	(0.0856)
_Ivilid_43	-0.161***	-0.167***	-0.166***	-0.159***	-0.189***	-0.161***	-0.167***	-0.166***	-0.159***	-0.189***
	(0.0503)	(0.0477)	(0.0546)	(0.0521)	(0.0557)	(0.0503)	(0.0477)	(0.0546)	(0.0521)	(0.0557)
_Ivilid_44	-0.480***	-0.479***	-0.484***	-0.482***	-0.437***	-0.480***	-0.479***	-0.484***	-0.482***	-0.437***
	(0.0484)	(0.0476)	(0.0473)	(0.0496)	(0.0493)	(0.0484)	(0.0476)	(0.0473)	(0.0496)	(0.0493)
_Ivilid_45	-0.0251	-0.0199	-0.0243	-0.0245	0.0763	-0.0251	-0.0199	-0.0243	-0.0245	0.0763
	(0.0968)	(0.100)	(0.0984)	(0.0971)	(0.129)	(0.0968)	(0.100)	(0.0984)	(0.0971)	(0.129)
_Ivilid_46	-0.306***	-0.303***	-0.305***	-0.307***	-0.663**	-0.306***	-0.303***	-0.305***	-0.307***	-0.663**
	(0.0645)	(0.0646)	(0.0644)	(0.0651)	(0.259)	(0.0645)	(0.0646)	(0.0644)	(0.0651)	(0.259)
_Ivilid_47	-0.289***	-0.271***	-0.284***	-0.287***	-0.528***	-0.289***	-0.271***	-0.284***	-0.287***	-0.528***
	(0.100)	(0.0957)	(0.102)	(0.102)	(0.200)	(0.100)	(0.0957)	(0.102)	(0.102)	(0.200)
inter_intensive_educ		-0.0210					-0.0210			
		(0.0480)					(0.0480)			
educ_good		0.0939***					0.0939***			
		(0.0343)					(0.0343)			
inter_intensive_exp			0.0335					0.0335		
			(0.0455)					(0.0455)		
insurance_repay			0.0237					0.0237		
			(0.0327)					(0.0327)		
inter_intensive_risk				0.0482					0.0482	
				(0.0702)					(0.0702)	
risk_averse				-0.0218					-0.0218	
				(0.0483)					(0.0483)	
inter_intensive_day					-0.00279					-0.00279
					(0.00234)					(0.00234)
day					-0.0139					-0.0139
					(0.0112)					(0.0112)
Constant	0.366***	0.379***	0.357***	0.367***	0.795**	0.366***	0.379***	0.357***	0.367***	0.795**
	(0.0965)	(0.0840)	(0.0871)	(0.0871)	(0.350)	(0.0965)	(0.0840)	(0.0871)	(0.0871)	(0.350)
										
Observations	2,137	2,161	2,137	2,137	2,137	2,137	2,161	2,137	2,137	2,137
R-squared	0.125	0.128	0.127	0.125	0.127	0.125	0.128	0.127	0.125	0.127
Robust standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
